competition_id,competition_name,date,team_1_id,team_2_id,team_1_name,team_2_name,color_1,color_2,goals,fouls,yellow,yellow_red,red,penalties_scored,penalties_saved,woodwork,own_goals,joker_goals
85,2. Bundesliga,2021-01-10 12:30:00 UTC
600,Süper Lig,2021-01-10 13:00:00 UTC
600,Süper Lig,2021-01-10 13:00:00 UTC
564,La Liga,2021-01-10 13:00:00 UTC
72,Eredivisie,2021-01-10 13:30:00 UTC
72,Eredivisie,2021-01-10 13:30:00 UTC
384,Serie A,2021-01-10 14:00:00 UTC
384,Serie A,2021-01-10 14:00:00 UTC
82,Bundesliga,2021-01-10 14:30:00 UTC
462,Primeira Liga,2021-01-10 15:00:00 UTC
564,La Liga,2021-01-10 15:15:00 UTC
72,Eredivisie,2021-01-10 15:45:00 UTC
600,Süper Lig,2021-01-10 16:00:00 UTC
82,Bundesliga,2021-01-10 17:00:00 UTC
384,Serie A,2021-01-10 17:00:00 UTC
384,Serie A,2021-01-10 19:45:00 UTC
564,La Liga,2021-01-10 20:00:00 UTC
600,Süper Lig,2021-01-11 13:00:00 UTC
600,Süper Lig,2021-01-11 16:00:00 UTC
564,La Liga,2021-01-11 18:00:00 UTC
85,2. Bundesliga,2021-01-11 19:30:00 UTC
384,Serie A,2021-01-11 19:45:00 UTC
564,La Liga,2021-01-11 20:00:00 UTC
72,Eredivisie,2021-01-12 17:45:00 UTC
564,La Liga,2021-01-12 18:00:00 UTC
9,Championship,2021-01-12 19:00:00 UTC
9,Championship,2021-01-12 19:45:00 UTC
72,Eredivisie,2021-01-12 20:00:00 UTC
8,Premier League,2021-01-12 20:15:00 UTC
8,Premier League,2021-01-12 20:15:00 UTC
564,La Liga,2021-01-12 20:30:00 UTC
72,Eredivisie,2021-01-13 17:45:00 UTC
72,Eredivisie,2021-01-13 19:00:00 UTC
72,Eredivisie,2021-01-13 19:00:00 UTC
72,Eredivisie,2021-01-13 20:00:00 UTC
8,Premier League,2021-01-13 20:15:00 UTC
72,Eredivisie,2021-01-14 17:45:00 UTC
72,Eredivisie,2021-01-14 19:00:00 UTC
72,Eredivisie,2021-01-14 20:00:00 UTC
8,Premier League,2021-01-14 20:00:00 UTC
600,Süper Lig,2021-01-15 16:00:00 UTC
85,2. Bundesliga,2021-01-15 17:30:00 UTC
85,2. Bundesliga,2021-01-15 17:30:00 UTC
387,Serie B,2021-01-15 18:00:00 UTC
462,Primeira Liga,2021-01-15 18:30:00 UTC
82,Bundesliga,2021-01-15 19:30:00 UTC
384,Serie A,2021-01-15 19:45:00 UTC
301,Ligue 1,2021-01-15 20:00:00 UTC
462,Primeira Liga,2021-01-15 21:00:00 UTC
600,Süper Lig,2021-01-16 10:30:00 UTC
85,2. Bundesliga,2021-01-16 12:00:00 UTC
85,2. Bundesliga,2021-01-16 12:00:00 UTC
85,2. Bundesliga,2021-01-16 12:00:00 UTC
8,Premier League,2021-01-16 12:30:00 UTC
9,Championship,2021-01-16 12:30:00 UTC
600,Süper Lig,2021-01-16 13:00:00 UTC
600,Süper Lig,2021-01-16 13:00:00 UTC
387,Serie B,2021-01-16 13:00:00 UTC
387,Serie B,2021-01-16 13:00:00 UTC
387,Serie B,2021-01-16 13:00:00 UTC
384,Serie A,2021-01-16 14:00:00 UTC
82,Bundesliga,2021-01-16 14:30:00 UTC
82,Bundesliga,2021-01-16 14:30:00 UTC
82,Bundesliga,2021-01-16 14:30:00 UTC
82,Bundesliga,2021-01-16 14:30:00 UTC
82,Bundesliga,2021-01-16 14:30:00 UTC
8,Premier League,2021-01-16 15:00:00 UTC
9,Championship,2021-01-16 15:00:00 UTC
9,Championship,2021-01-16 15:00:00 UTC
9,Championship,2021-01-16 15:00:00 UTC
9,Championship,2021-01-16 15:00:00 UTC
9,Championship,2021-01-16 15:00:00 UTC
9,Championship,2021-01-16 15:00:00 UTC
9,Championship,2021-01-16 15:00:00 UTC
387,Serie B,2021-01-16 15:00:00 UTC
72,Eredivisie,2021-01-16 15:30:00 UTC
301,Ligue 1,2021-01-16 16:00:00 UTC
600,Süper Lig,2021-01-16 16:00:00 UTC
384,Serie A,2021-01-16 17:00:00 UTC
82,Bundesliga,2021-01-16 17:30:00 UTC
8,Premier League,2021-01-16 17:30:00 UTC
72,Eredivisie,2021-01-16 17:45:00 UTC
72,Eredivisie,2021-01-16 19:00:00 UTC
72,Eredivisie,2021-01-16 19:00:00 UTC
9,Championship,2021-01-16 19:45:00 UTC
384,Serie A,2021-01-16 19:45:00 UTC
72,Eredivisie,2021-01-16 20:00:00 UTC
8,Premier League,2021-01-16 20:00:00 UTC
462,Primeira Liga,2021-01-16 20:30:00 UTC
600,Süper Lig,2021-01-17 10:30:00 UTC
72,Eredivisie,2021-01-17 11:15:00 UTC
384,Serie A,2021-01-17 11:30:00 UTC
301,Ligue 1,2021-01-17 12:00:00 UTC
8,Premier League,2021-01-17 12:00:00 UTC
85,2. Bundesliga,2021-01-17 12:30:00 UTC
85,2. Bundesliga,2021-01-17 12:30:00 UTC
85,2. Bundesliga,2021-01-17 12:30:00 UTC
600,Süper Lig,2021-01-17 13:00:00 UTC
72,Eredivisie,2021-01-17 13:30:00 UTC
72,Eredivisie,2021-01-17 13:30:00 UTC
301,Ligue 1,2021-01-17 14:00:00 UTC
301,Ligue 1,2021-01-17 14:00:00 UTC
8,Premier League,2021-01-17 14:00:00 UTC
384,Serie A,2021-01-17 14:00:00 UTC
384,Serie A,2021-01-17 14:00:00 UTC
387,Serie B,2021-01-17 14:00:00 UTC
82,Bundesliga,2021-01-17 14:30:00 UTC
462,Primeira Liga,2021-01-17 15:00:00 UTC
72,Eredivisie,2021-01-17 15:45:00 UTC
301,Ligue 1,2021-01-17 16:00:00 UTC
181,Tipico Bundesliga,2021-01-17 16:00:00 UTC
600,Süper Lig,2021-01-17 16:00:00 UTC
8,Premier League,2021-01-17 16:30:00 UTC
82,Bundesliga,2021-01-17 17:00:00 UTC
384,Serie A,2021-01-17 17:00:00 UTC
462,Primeira Liga,2021-01-17 17:30:00 UTC
8,Premier League,2021-01-17 19:15:00 UTC
384,Serie A,2021-01-17 19:45:00 UTC
462,Primeira Liga,2021-01-17 20:00:00 UTC
387,Serie B,2021-01-17 20:00:00 UTC
600,Süper Lig,2021-01-18 16:00:00 UTC
600,Süper Lig,2021-01-18 16:00:00 UTC
85,2. Bundesliga,2021-01-18 19:30:00 UTC
384,Serie A,2021-01-18 19:45:00 UTC
8,Premier League,2021-01-18 20:00:00 UTC
387,Serie B,2021-01-18 20:00:00 UTC
462,Primeira Liga,2021-01-18 20:15:00 UTC
600,Süper Lig,2021-01-19 13:00:00 UTC
600,Süper Lig,2021-01-19 16:00:00 UTC
82,Bundesliga,2021-01-19 17:30:00 UTC
8,Premier League,2021-01-19 18:00:00 UTC
9,Championship,2021-01-19 18:00:00 UTC
9,Championship,2021-01-19 18:00:00 UTC
564,La Liga,2021-01-19 18:00:00 UTC
564,La Liga,2021-01-19 18:00:00 UTC
387,Serie B,2021-01-19 18:00:00 UTC
82,Bundesliga,2021-01-19 19:30:00 UTC
82,Bundesliga,2021-01-19 19:30:00 UTC
9,Championship,2021-01-19 19:45:00 UTC
8,Premier League,2021-01-19 20:15:00 UTC
564,La Liga,2021-01-19 20:30:00 UTC
600,Süper Lig,2021-01-20 13:00:00 UTC
600,Süper Lig,2021-01-20 13:00:00 UTC
384,Serie A,2021-01-20 14:00:00 UTC
600,Süper Lig,2021-01-20 16:00:00 UTC
591,Super League,2021-01-20 17:00:00 UTC
591,Super League,2021-01-20 17:00:00 UTC
82,Bundesliga,2021-01-20 17:30:00 UTC
8,Premier League,2021-01-20 18:00:00 UTC
564,La Liga,2021-01-20 18:00:00 UTC
9,Championship,2021-01-20 19:00:00 UTC
9,Championship,2021-01-20 19:00:00 UTC
9,Championship,2021-01-20 19:00:00 UTC
9,Championship,2021-01-20 19:00:00 UTC
82,Bundesliga,2021-01-20 19:30:00 UTC
82,Bundesliga,2021-01-20 19:30:00 UTC
82,Bundesliga,2021-01-20 19:30:00 UTC
82,Bundesliga,2021-01-20 19:30:00 UTC
301,Ligue 1,2021-01-20 20:00:00 UTC
591,Super League,2021-02-14 15:00:00 UTC
564,La Liga,2021-01-20 20:00:00 UTC
8,Premier League,2021-01-20 20:15:00 UTC
564,La Liga,2021-01-20 20:30:00 UTC
600,Süper Lig,2021-01-21 13:00:00 UTC
600,Süper Lig,2021-01-21 13:00:00 UTC
600,Süper Lig,2021-01-21 16:00:00 UTC
600,Süper Lig,2021-01-21 16:00:00 UTC
564,La Liga,2021-01-21 18:00:00 UTC
462,Primeira Liga,2021-01-21 20:15:00 UTC
564,La Liga,2021-01-21 20:30:00 UTC
85,2. Bundesliga,2021-01-22 17:30:00 UTC
85,2. Bundesliga,2021-01-22 17:30:00 UTC
181,Tipico Bundesliga,2021-01-22 18:00:00 UTC
72,Eredivisie,2021-01-22 19:00:00 UTC
82,Bundesliga,2021-01-22 19:30:00 UTC
9,Championship,2021-01-22 19:45:00 UTC
384,Serie A,2021-01-22 19:45:00 UTC
564,La Liga,2021-01-22 20:00:00 UTC
387,Serie B,2021-01-22 20:00:00 UTC
85,2. Bundesliga,2021-01-23 12:00:00 UTC
85,2. Bundesliga,2021-01-23 12:00:00 UTC
85,2. Bundesliga,2021-01-23 12:00:00 UTC
600,Süper Lig,2021-01-23 13:00:00 UTC
564,La Liga,2021-01-23 13:00:00 UTC
387,Serie B,2021-01-23 13:00:00 UTC
387,Serie B,2021-01-23 13:00:00 UTC
387,Serie B,2021-01-23 13:00:00 UTC
387,Serie B,2021-01-23 13:00:00 UTC
384,Serie A,2021-01-23 14:00:00 UTC
82,Bundesliga,2021-01-23 14:30:00 UTC
82,Bundesliga,2021-01-23 14:30:00 UTC
82,Bundesliga,2021-01-23 14:30:00 UTC
